dateTime,rate,rateZone
06.06.2024 11:20:28,82,43%
06.06.2024 11:20:19,87,45%
06.06.2024 11:20:15,85,44%
06.06.2024 11:20:09,87,45%
06.06.2024 11:20:04,86,45%
06.06.2024 11:19:58,80,42%
06.06.2024 11:19:49,76,40%
06.06.2024 11:19:43,77,40%
06.06.2024 11:19:34,76,40%
06.06.2024 11:19:32,78,41%
06.06.2024 11:19:25,81,42%
06.06.2024 11:19:19,83,43%
06.06.2024 11:19:19,83,43%
06.06.2024 11:19:10,83,43%
06.06.2024 11:19:04,80,42%
06.06.2024 11:19:01,84,44%
06.06.2024 11:18:55,87,45%
06.06.2024 11:18:49,89,46%
06.06.2024 11:18:49,90,47%
06.06.2024 11:18:42,91,47%
06.06.2024 11:18:34,92,48%
06.06.2024 11:18:31,92,48%
06.06.2024 11:18:26,90,47%
06.06.2024 11:18:19,86,45%
06.06.2024 11:18:18,86,45%
06.06.2024 11:18:10,88,46%
06.06.2024 11:18:04,89,46%
06.06.2024 11:17:56,88,46%
06.06.2024 11:17:49,95,50%
06.06.2024 11:17:48,95,50%
06.06.2024 11:17:39,94,49%
06.06.2024 11:17:34,93,48%
06.06.2024 11:17:25,95,50%
06.06.2024 11:17:19,101,53%
06.06.2024 11:17:13,102,53%
06.06.2024 11:17:04,108,56%
06.06.2024 11:17:03,104,54%
06.06.2024 11:16:55,105,55%
06.06.2024 11:16:49,104,54%
06.06.2024 11:16:48,104,54%
06.06.2024 11:16:39,105,55%
06.06.2024 11:16:34,108,56%
06.06.2024 11:16:33,108,56%
06.06.2024 11:16:24,107,56%
06.06.2024 11:16:19,106,55%
06.06.2024 11:16:18,104,54%
06.06.2024 11:16:13,103,54%
06.06.2024 11:16:04,102,53%
06.06.2024 11:16:03,105,55%
06.06.2024 11:15:54,106,55%
06.06.2024 11:15:49,102,53%
06.06.2024 11:15:41,103,54%
06.06.2024 11:15:34,104,54%
06.06.2024 11:15:29,105,55%
06.06.2024 11:15:24,106,55%
06.06.2024 11:15:19,105,55%
06.06.2024 11:15:15,102,53%
06.06.2024 11:15:10,101,53%
06.06.2024 11:15:04,97,51%
06.06.2024 11:15:02,98,51%
06.06.2024 11:14:54,98,51%
06.06.2024 11:14:49,99,52%
06.06.2024 11:14:48,97,51%
06.06.2024 11:14:43,96,50%
06.06.2024 11:14:34,100,52%
06.06.2024 11:14:26,101,53%
06.06.2024 11:14:19,104,54%
06.06.2024 11:14:15,106,55%
06.06.2024 11:14:09,107,56%
06.06.2024 11:14:04,109,57%
06.06.2024 11:13:57,109,57%
06.06.2024 11:13:49,112,58%
06.06.2024 11:13:45,114,60%
06.06.2024 11:13:39,118,62%
06.06.2024 11:13:34,117,61%
06.06.2024 11:13:32,116,61%
06.06.2024 11:13:26,116,61%
06.06.2024 11:13:19,114,60%
06.06.2024 11:13:16,116,61%
06.06.2024 11:13:10,118,62%
06.06.2024 11:13:04,121,63%
06.06.2024 11:12:55,121,63%
06.06.2024 11:12:49,122,64%
06.06.2024 11:12:41,122,64%
06.06.2024 11:12:34,122,64%
06.06.2024 11:12:30,123,64%
06.06.2024 11:12:24,123,64%
06.06.2024 11:12:19,127,66%
06.06.2024 11:12:16,127,66%
06.06.2024 11:12:09,126,66%
06.06.2024 11:12:04,129,67%
06.06.2024 11:12:02,126,66%
06.06.2024 11:11:54,124,65%
06.06.2024 11:11:49,125,65%
06.06.2024 11:11:44,125,65%
06.06.2024 11:11:34,125,65%
06.06.2024 11:11:28,127,66%
06.06.2024 11:11:19,123,64%
06.06.2024 11:11:14,124,65%
06.06.2024 11:11:09,119,62%
06.06.2024 11:11:04,117,61%
06.06.2024 11:10:54,117,61%
06.06.2024 11:10:49,117,61%
06.06.2024 11:10:48,118,62%
06.06.2024 11:10:41,117,61%
06.06.2024 11:10:34,117,61%
06.06.2024 11:10:26,117,61%
06.06.2024 11:10:19,111,58%
06.06.2024 11:10:17,110,57%
06.06.2024 11:10:10,110,57%
06.06.2024 11:10:04,111,58%
06.06.2024 11:09:57,111,58%
06.06.2024 11:09:49,111,58%
06.06.2024 11:09:46,117,61%
06.06.2024 11:09:40,119,62%
06.06.2024 11:09:34,114,60%
06.06.2024 11:09:31,112,58%
06.06.2024 11:09:25,111,58%
06.06.2024 11:09:19,111,58%
06.06.2024 11:09:12,111,58%
06.06.2024 11:09:04,110,57%
06.06.2024 11:09:00,110,57%
06.06.2024 11:08:54,112,58%
06.06.2024 11:08:49,111,58%
06.06.2024 11:08:43,109,57%
06.06.2024 11:08:34,109,57%
06.06.2024 11:08:33,109,57%
06.06.2024 11:08:24,110,57%
06.06.2024 11:08:19,108,56%
06.06.2024 11:08:15,109,57%
06.06.2024 11:08:10,110,57%
06.06.2024 11:08:04,112,58%
06.06.2024 11:07:54,111,58%
06.06.2024 11:07:49,117,61%
06.06.2024 11:07:48,116,61%
06.06.2024 11:07:40,117,61%
06.06.2024 11:07:34,122,64%
06.06.2024 11:07:32,122,64%
06.06.2024 11:07:27,123,64%
06.06.2024 11:07:19,121,63%
06.06.2024 11:07:15,121,63%
06.06.2024 11:07:09,115,60%
06.06.2024 11:07:00,109,57%
06.06.2024 11:06:54,107,56%
06.06.2024 11:06:49,105,55%
06.06.2024 11:06:48,107,56%
06.06.2024 11:06:43,109,57%
06.06.2024 11:06:34,108,56%
06.06.2024 11:06:30,105,55%
06.06.2024 11:06:25,107,56%
06.06.2024 11:06:15,106,55%
06.06.2024 11:06:09,108,56%
06.06.2024 11:06:04,110,57%
06.06.2024 11:06:00,106,55%
06.06.2024 11:05:55,104,54%
06.06.2024 11:05:49,105,55%
06.06.2024 11:05:48,104,54%
06.06.2024 11:05:39,104,54%
06.06.2024 11:05:34,106,55%
06.06.2024 11:05:29,104,54%
06.06.2024 11:05:24,106,55%
06.06.2024 11:05:13,104,54%
06.06.2024 11:05:04,108,56%
06.06.2024 11:05:03,110,57%
06.06.2024 11:04:56,109,57%
06.06.2024 11:04:49,109,57%
06.06.2024 11:04:41,109,57%
06.06.2024 11:04:34,105,55%
06.06.2024 11:04:33,106,55%
06.06.2024 11:04:25,105,55%
06.06.2024 11:04:19,106,55%
06.06.2024 11:04:12,106,55%
06.06.2024 11:04:04,104,54%
06.06.2024 11:04:01,103,54%
06.06.2024 11:03:55,104,54%
06.06.2024 11:03:49,105,55%
06.06.2024 11:03:44,103,54%
06.06.2024 11:03:39,100,52%
06.06.2024 11:03:29,99,52%
06.06.2024 11:03:24,98,51%
06.06.2024 11:03:19,98,51%
06.06.2024 11:03:18,98,51%
06.06.2024 11:03:10,95,50%
06.06.2024 11:03:04,99,52%
06.06.2024 11:03:01,101,53%
06.06.2024 11:02:56,104,54%
06.06.2024 11:02:49,104,54%
06.06.2024 11:02:44,104,54%
06.06.2024 11:02:39,99,52%
06.06.2024 11:02:34,98,51%
06.06.2024 11:02:31,100,52%
06.06.2024 11:02:25,101,53%
06.06.2024 11:02:19,97,51%
06.06.2024 11:02:15,98,51%
06.06.2024 11:02:09,97,51%
06.06.2024 11:02:04,97,51%
06.06.2024 11:02:03,98,51%
06.06.2024 11:01:57,98,51%
06.06.2024 11:01:49,99,52%
06.06.2024 11:01:43,97,51%
06.06.2024 11:01:34,98,51%
06.06.2024 11:01:25,100,52%
06.06.2024 11:01:19,99,52%
06.06.2024 11:01:18,100,52%
06.06.2024 11:01:12,101,53%
06.06.2024 11:01:04,101,53%
06.06.2024 11:01:03,99,52%
06.06.2024 11:00:54,99,52%
06.06.2024 11:00:49,102,53%
06.06.2024 11:00:45,103,54%
06.06.2024 11:00:40,101,53%
06.06.2024 11:00:34,101,53%
06.06.2024 11:00:32,100,52%
06.06.2024 11:00:25,97,51%
06.06.2024 11:00:19,96,50%
06.06.2024 11:00:11,95,50%
06.06.2024 11:00:04,96,50%
06.06.2024 10:59:59,98,51%
06.06.2024 10:59:49,103,54%
06.06.2024 10:59:45,103,54%
06.06.2024 10:59:39,101,53%
06.06.2024 10:59:33,102,53%
06.06.2024 10:59:27,103,54%
06.06.2024 10:59:19,105,55%
06.06.2024 10:59:18,103,54%
06.06.2024 10:59:09,102,53%
06.06.2024 10:59:04,107,56%
06.06.2024 10:58:57,105,55%
06.06.2024 10:58:49,105,55%
06.06.2024 10:58:45,108,56%
06.06.2024 10:58:39,111,58%
06.06.2024 10:58:34,113,59%
06.06.2024 10:58:32,114,60%
06.06.2024 10:58:27,114,60%
06.06.2024 10:58:19,113,59%
06.06.2024 10:58:16,114,60%
06.06.2024 10:58:09,113,59%
06.06.2024 10:58:04,112,58%
06.06.2024 10:58:01,109,57%
06.06.2024 10:57:55,110,57%
06.06.2024 10:57:49,111,58%
06.06.2024 10:57:42,109,57%
06.06.2024 10:57:34,109,57%
06.06.2024 10:57:31,109,57%
06.06.2024 10:57:24,108,56%
06.06.2024 10:57:19,110,57%
06.06.2024 10:57:18,112,58%
06.06.2024 10:57:11,113,59%
06.06.2024 10:57:04,112,58%
06.06.2024 10:56:56,112,58%
06.06.2024 10:56:49,111,58%
06.06.2024 10:56:46,111,58%
06.06.2024 10:56:41,109,57%
06.06.2024 10:56:34,108,56%
06.06.2024 10:56:32,105,55%
06.06.2024 10:56:27,106,55%
06.06.2024 10:56:19,105,55%
06.06.2024 10:56:18,107,56%
06.06.2024 10:56:12,107,56%
06.06.2024 10:56:04,108,56%
06.06.2024 10:55:57,106,55%
06.06.2024 10:55:49,106,55%
06.06.2024 10:55:46,106,55%
06.06.2024 10:55:41,105,55%
06.06.2024 10:55:34,106,55%
06.06.2024 10:55:26,107,56%
06.06.2024 10:55:19,113,59%
06.06.2024 10:55:17,112,58%
06.06.2024 10:55:10,113,59%
06.06.2024 10:55:04,109,57%
06.06.2024 10:54:58,110,57%
06.06.2024 10:54:49,112,58%
06.06.2024 10:54:47,111,58%
06.06.2024 10:54:39,110,57%
06.06.2024 10:54:34,110,57%
06.06.2024 10:54:30,110,57%
06.06.2024 10:54:25,109,57%
06.06.2024 10:54:19,110,57%
06.06.2024 10:54:16,109,57%
06.06.2024 10:54:10,112,58%
06.06.2024 10:54:04,112,58%
06.06.2024 10:54:01,111,58%
06.06.2024 10:53:54,110,57%
06.06.2024 10:53:46,108,56%
06.06.2024 10:53:39,110,57%
06.06.2024 10:53:34,110,57%
06.06.2024 10:53:30,110,57%
06.06.2024 10:53:25,105,55%
06.06.2024 10:53:19,108,56%
06.06.2024 10:53:15,108,56%
06.06.2024 10:53:09,108,56%
06.06.2024 10:53:04,108,56%
06.06.2024 10:52:55,108,56%
06.06.2024 10:52:49,110,57%
06.06.2024 10:52:49,112,58%
06.06.2024 10:52:40,112,58%
06.06.2024 10:52:34,111,58%
06.06.2024 10:52:27,109,57%
06.06.2024 10:52:19,110,57%
06.06.2024 10:52:19,110,57%
06.06.2024 10:52:10,109,57%
06.06.2024 10:52:04,108,56%
06.06.2024 10:52:01,108,56%
06.06.2024 10:51:54,108,56%
06.06.2024 10:51:49,106,55%
06.06.2024 10:51:40,107,56%
06.06.2024 10:51:34,103,54%
06.06.2024 10:51:26,104,54%
06.06.2024 10:51:19,99,52%
06.06.2024 10:51:17,97,51%
06.06.2024 10:51:10,96,50%
06.06.2024 10:51:04,96,50%
06.06.2024 10:50:55,96,50%
06.06.2024 10:50:49,101,53%
06.06.2024 10:50:42,97,51%
06.06.2024 10:50:34,96,50%
06.06.2024 10:50:25,95,50%
06.06.2024 10:50:19,95,50%
06.06.2024 10:50:16,97,51%
06.06.2024 10:50:11,97,51%
06.06.2024 10:50:04,99,52%
06.06.2024 10:50:00,101,53%
06.06.2024 10:49:55,103,54%
06.06.2024 10:49:49,105,55%
06.06.2024 10:49:45,105,55%
06.06.2024 10:49:39,104,54%
06.06.2024 10:49:34,106,55%
06.06.2024 10:49:32,106,55%
06.06.2024 10:49:25,107,56%
06.06.2024 10:49:19,109,57%
06.06.2024 10:49:19,108,56%
06.06.2024 10:49:13,107,56%
06.06.2024 10:49:04,107,56%
06.06.2024 10:48:59,107,56%
06.06.2024 10:48:54,109,57%
06.06.2024 10:48:49,109,57%
06.06.2024 10:48:42,109,57%
06.06.2024 10:48:34,111,58%
06.06.2024 10:48:28,111,58%
06.06.2024 10:48:19,112,58%
06.06.2024 10:48:18,110,57%
06.06.2024 10:48:12,109,57%
06.06.2024 10:48:04,108,56%
06.06.2024 10:48:01,106,55%
06.06.2024 10:47:54,100,52%
06.06.2024 10:47:49,102,53%
06.06.2024 10:47:45,100,52%
06.06.2024 10:47:39,95,50%
06.06.2024 10:47:34,93,48%
06.06.2024 10:47:25,95,50%
06.06.2024 10:47:19,97,51%
06.06.2024 10:47:14,97,51%
06.06.2024 10:47:09,96,50%
06.06.2024 10:47:04,98,51%
06.06.2024 10:47:01,98,51%
06.06.2024 10:46:55,99,52%
06.06.2024 10:46:49,101,53%
06.06.2024 10:46:46,103,54%
06.06.2024 10:46:39,100,52%
06.06.2024 10:46:34,102,53%
06.06.2024 10:46:33,103,54%
06.06.2024 10:46:26,103,54%
06.06.2024 10:46:19,101,53%
06.06.2024 10:46:12,101,53%
06.06.2024 10:46:04,107,56%
06.06.2024 10:46:03,109,57%
06.06.2024 10:45:54,109,57%
06.06.2024 10:45:49,107,56%
06.06.2024 10:45:45,106,55%
06.06.2024 10:45:39,109,57%
06.06.2024 10:45:34,105,55%
06.06.2024 10:45:28,103,54%
06.06.2024 10:45:19,107,56%
06.06.2024 10:45:12,108,56%
06.06.2024 10:45:04,109,57%
06.06.2024 10:44:58,107,56%
06.06.2024 10:44:49,108,56%
06.06.2024 10:44:49,106,55%
06.06.2024 10:44:42,105,55%
06.06.2024 10:44:34,105,55%
06.06.2024 10:44:29,107,56%
06.06.2024 10:44:24,108,56%
06.06.2024 10:44:19,108,56%
06.06.2024 10:44:15,108,56%
06.06.2024 10:44:10,104,54%
06.06.2024 10:44:04,104,54%
06.06.2024 10:44:00,104,54%
06.06.2024 10:43:54,103,54%
06.06.2024 10:43:49,99,52%
06.06.2024 10:43:45,99,52%
06.06.2024 10:43:39,98,51%
06.06.2024 10:43:34,98,51%
06.06.2024 10:43:32,97,51%
06.06.2024 10:43:25,97,51%
06.06.2024 10:43:19,93,48%
06.06.2024 10:43:13,90,47%
06.06.2024 10:43:04,84,44%
06.06.2024 10:42:59,81,42%
06.06.2024 10:42:49,81,42%
06.06.2024 10:42:46,76,40%
06.06.2024 10:42:39,72,37%
06.06.2024 10:42:34,70,36%
06.06.2024 10:42:29,70,36%
06.06.2024 10:42:24,70,36%
06.06.2024 10:42:19,69,36%
06.06.2024 10:42:18,66,34%
06.06.2024 10:42:13,65,34%
06.06.2024 10:42:04,68,35%
06.06.2024 10:42:00,68,35%
06.06.2024 10:41:55,73,38%
06.06.2024 10:41:49,71,37%
06.06.2024 10:41:42,71,37%
06.06.2024 10:41:34,74,38%
06.06.2024 10:41:33,76,40%
06.06.2024 10:41:27,76,40%
06.06.2024 10:41:19,76,40%
06.06.2024 10:41:12,78,41%
06.06.2024 10:41:04,77,40%
06.06.2024 10:41:03,76,40%
06.06.2024 10:40:57,77,40%
06.06.2024 10:40:49,76,40%
06.06.2024 10:40:46,81,42%
06.06.2024 10:40:41,80,42%
06.06.2024 10:40:34,79,41%
06.06.2024 10:40:26,79,41%
06.06.2024 10:40:19,76,40%
06.06.2024 10:40:16,77,40%
06.06.2024 10:40:09,74,38%
06.06.2024 10:40:04,79,41%
06.06.2024 10:40:00,82,43%
06.06.2024 10:39:54,88,46%
06.06.2024 10:39:49,87,45%
06.06.2024 10:39:43,86,45%
06.06.2024 10:39:34,87,45%
06.06.2024 10:39:27,86,45%
06.06.2024 10:39:19,83,43%
06.06.2024 10:39:14,83,43%
06.06.2024 10:39:09,81,42%
06.06.2024 10:39:04,79,41%
06.06.2024 10:39:03,78,41%
06.06.2024 10:38:55,79,41%
06.06.2024 10:38:49,77,40%
06.06.2024 10:38:46,82,43%
06.06.2024 10:38:40,82,43%
06.06.2024 10:38:34,79,41%
06.06.2024 10:38:33,78,41%
06.06.2024 10:38:27,76,40%
06.06.2024 10:38:19,77,40%
06.06.2024 10:38:13,77,40%
06.06.2024 10:38:04,77,40%
06.06.2024 10:38:00,77,40%
06.06.2024 10:37:54,76,40%
06.06.2024 10:37:49,77,40%
06.06.2024 10:37:45,79,41%
06.06.2024 10:37:39,74,38%
06.06.2024 10:37:34,71,37%
06.06.2024 10:37:32,69,36%
06.06.2024 10:37:26,71,37%
06.06.2024 10:37:19,71,37%
06.06.2024 10:37:16,71,37%
06.06.2024 10:37:10,73,38%
06.06.2024 10:37:04,78,41%
06.06.2024 10:37:03,81,42%
06.06.2024 10:36:54,80,42%
06.06.2024 10:36:49,80,42%
06.06.2024 10:36:45,79,41%
06.06.2024 10:36:40,77,40%
06.06.2024 10:36:34,77,40%
06.06.2024 10:36:31,73,38%
06.06.2024 10:36:24,76,40%
06.06.2024 10:36:19,74,38%
06.06.2024 10:36:09,72,37%
06.06.2024 10:35:58,73,38%
06.06.2024 10:35:49,76,40%
06.06.2024 10:35:44,76,40%
06.06.2024 10:35:39,79,41%
06.06.2024 10:35:34,77,40%
06.06.2024 10:35:31,77,40%
06.06.2024 10:35:26,78,41%
06.06.2024 10:35:19,78,41%
06.06.2024 10:35:12,80,42%
06.06.2024 10:35:04,76,40%
06.06.2024 10:35:01,72,37%
06.06.2024 10:34:56,73,38%
06.06.2024 10:34:49,74,38%
06.06.2024 10:34:42,75,39%
06.06.2024 10:34:34,77,40%
06.06.2024 10:34:33,75,39%
06.06.2024 10:34:26,76,40%
06.06.2024 10:34:19,78,41%
06.06.2024 10:34:18,81,42%
06.06.2024 10:34:11,81,42%
06.06.2024 10:34:04,84,44%
06.06.2024 10:34:00,84,44%
06.06.2024 10:33:55,85,44%
06.06.2024 10:33:49,85,44%
06.06.2024 10:33:47,81,42%
06.06.2024 10:33:39,79,41%
06.06.2024 10:33:34,78,41%
06.06.2024 10:33:28,79,41%
06.06.2024 10:33:19,78,41%
06.06.2024 10:33:15,79,41%
06.06.2024 10:33:10,77,40%
06.06.2024 10:33:04,78,41%
06.06.2024 10:32:57,76,40%
06.06.2024 10:32:49,76,40%
06.06.2024 10:32:46,76,40%
06.06.2024 10:32:41,75,39%
06.06.2024 10:32:34,77,40%
06.06.2024 10:32:31,77,40%
06.06.2024 10:32:26,76,40%
06.06.2024 10:32:19,76,40%
06.06.2024 10:32:16,78,41%
06.06.2024 10:32:10,82,43%
06.06.2024 10:32:04,83,43%
06.06.2024 10:31:58,84,44%
06.06.2024 10:31:49,84,44%
06.06.2024 10:31:48,84,44%
